CPU54 single-instruction MARS-style check
CaseDir: C:\大学\计算机组成原理\实验指导书\54条指令CPU实验相关文档\54条CPUtest指令示例和测试说明
Started: 2026-09-01 10:00:18

PASS 1_addi.hex.txt (1972 lines)
PASS 10_and.hex.txt (5134 lines)
PASS 11_beq.hex.txt (2006 lines)
PASS 12_bne.hex.txt (2550 lines)
PASS 13_j.hex.txt (3366 lines)
PASS 14_jal.hex.txt (3298 lines)
PASS 15_jr.hex.txt (646 lines)
PASS 16.26_lwsw.hex.txt (3332 lines)
PASS 16.26_lwsw2.hex.txt (3332 lines)
PASS 17_xor.hex.txt (5134 lines)
PASS 18_nor.hex.txt (5134 lines)
PASS 19_or.hex.txt (5134 lines)
PASS 2_addiu.hex.txt (1972 lines)
PASS 20_sll.hex.txt (1122 lines)
PASS 21_sllv.hex.txt (1972 lines)
PASS 22_sltu.hex.txt (2244 lines)
PASS 23_sra.hex.txt (1122 lines)
PASS 24_srl.hex.txt (1122 lines)
PASS 25_subu.hex.txt (5066 lines)
PASS 27_add.hex.txt (3402 lines)
PASS 28_sub.hex.txt (4046 lines)
PASS 29_slt.hex.txt (2244 lines)
PASS 3_andi.hex.txt (2176 lines)
PASS 30_srlv.hex.txt (1972 lines)
PASS 31_srav.hex.txt (1972 lines)
PASS 32_clz.hex.txt (2278 lines)
PASS 33_divu.hex.txt (14722 lines)
PASS 35_jalr.hex.txt (306 lines)
PASS 36.39_lbsb.hex.txt (3332 lines)
PASS 36.39_lbsb2.hex.txt (3332 lines)
PASS 37_lbu.hex.txt (3332 lines)
PASS 37_lbu2.hex.txt (3332 lines)
PASS 38_lhu.hex.txt (3332 lines)
PASS 38_lhu2.hex.txt (3332 lines)
PASS 4_ori.hex.txt (2176 lines)
PASS 40.41_lhsh.hex.txt (3332 lines)
PASS 40.41_lhsh2.hex.txt (3332 lines)
PASS 42.45_mfc0mtc0.hex.txt (442 lines)
PASS 43.46_mfhi.mthi.hex.txt (646 lines)
PASS 44.47_mflo.mtlo.hex.txt (646 lines)
PASS 48_mult.hex.txt (12002 lines)
PASS 49_multu.hex.txt (9282 lines)
PASS 5_sltiu.hex.txt (2176 lines)
PASS 52_bgez.hex.txt (442 lines)
PASS 54_div.hex.txt (14722 lines)
PASS 6_lui.hex.txt (1122 lines)
PASS 7_xori.hex.txt (2176 lines)
PASS 8_slti.hex.txt (2176 lines)
PASS 9_addu.hex.txt (5066 lines)

Completed: 2026-09-01 10:07:38
ALL_HEX_CASES_PASSED 49
